index,x,y,layer,weight,rho,delta,nh,isSeed,clusterId
0,-51.86,-64.09,0,1,31,1.12272,297,0,0
1,171.87,-154.07,0,1,46,2.59943,495,0,1
2,-108.29,15.32,0,1,49,4.69145,10,0,0
3,175.75,-161.11,0,1,42,1.18228,251,0,1
4,-111.26,129.91,0,1,28,4.88806,144,0,2
5,165.02,-115.51,0,1,33,4.13943,554,0,1
6,-53.66,61.4,0,1,51,1.09877,721,0,2
7,-139.17,188.11,0,1,9,5.30829,465,0,-1
8,-110.05,32.22,0,1,44,2.92985,260,0,0
9,175.94,-159.84,0,1,44,3.39599,115,0,1
10,-103.8,13.96,0,1,53,0.983108,780,0,0
11,181.01,-188.69,0,1,15,11.409,142,0,1
12,-101.71,22.5,0,1,48,5.15641,754,0,0
13,-116.16,127.68,0,1,22,5.38358,4,0,2
14,-79.17,88.97,0,1,48,0.139999,294,0,2
15,-16.93,21.15,0,1,29,0.362353,870,0,2
16,-65.61,-69.2,0,1,17,3.81435,184,0,0
17,76.04,-9.57,0,1,14,6.54281,516,0,1
18,-100.32,12.87,0,1,54,1.76955,128,0,0
19,168.81,-122.36,0,1,36,3.71673,76,0,1
20,-37.49,61.72,0,1,48,1.13864,809,0,2
21,-78.55,91.43,0,1,47,2.53693,14,0,2
22,-111.72,159.34,0,1,19,5.16651,877,0,2
23,106.52,-85.72,0,1,33,5.04732,258,0,1
24,-92.02,106.33,0,1,52,2.61842,361,0,2
25,-110.99,0.48,0,1,43,2.21416,250,0,0
26,167.88,-132.26,0,1,51,5.03573,517,0,1
27,-63.53,-55.65,0,1,37,1.33255,878,0,0
28,-97.34,132.28,0,1,38,2.86565,140,0,2
29,219.79,-213.65,0,1,10,2.48709,851,0,1
30,-28.96,-3.64,0,1,3,15.7403,577,0,0
31,84.57,-47.62,0,1,23,5.8867,760,0,1
32,-103.57,36.51,0,1,35,0.224726,81,0,0
33,-24.9,18.55,0,1,25,5.77235,255,0,2
34,175.83,-140.58,0,1,45,2.27495,498,0,1
35,154.07,-122.77,0,1,50,2.7889,480,0,1
36,-140.31,48.16,0,1,23,2.51191,664,0,0
37,190.81,-166.44,0,1,32,0.639999,169,0,1
38,-4.19,16.84,0,1,24,7.39625,752,0,2
39,-94.04,-13.05,0,1,50,2.62728,329,0,0
40,95.24,-58.56,0,1,36,6.053,717,0,1
41,-53.8,51.74,0,1,38,2.8352,416,0,2
42,187.09,-158.93,0,1,36,5.18054,715,0,1
43,127.22,-77.22,0,1,49,3.30974,803,0,1
44,186.61,-172.35,0,1,34,3.65098,119,0,1
45,-101.16,131.1,0,1,38,4.7224,273,0,2
46,-72.95,83.15,0,1,51,1.40911,634,0,2
47,-97.06,-5.18,0,1,61,2.13359,194,0,0
48,-161.15,104.19,0,1,13,3.04907,58,0,0
49,-10.02,9.48,0,1,25,6.35916,288,0,2
50,-126.79,62.31,0,1,21,7.94135,853,0,0
51,-43.89,-59.22,0,1,30,4.40768,97,0,0
52,-98.46,-5.84,0,1,59,1.54777,47,0,0
53,-73.14,-15.79,0,1,40,3.753,748,0,0
54,160.67,-86.58,0,1,11,8.53037,595,0,1
55,-55.9,-57.92,0,1,38,3.2997,218,0,0
56,-96.79,15.95,0,1,48,2.09612,784,0,0
57,25.75,34.99,0,1,1,20.3838,557,0,-1
58,-160.73,101.17,0,1,13,3.36703,83,0,0
59,-82.12,112.96,0,1,59,1.36999,245,0,2
60,183.96,-153.18,0,1,38,5.22557,715,0,1
61,-44.71,71.94,0,1,48,2.51454,402,0,2
62,-59.66,92.9,0,1,52,1.87011,386,0,2
63,-60.87,94.89,0,1,50,0.477595,277,0,2
64,-97.49,2.79,0,1,59,2.13122,365,0,0
65,-18.16,29.48,0,1,34,3.74478,87,0,2
66,-43.31,-56.36,0,1,28,2.91822,51,0,0
67,-49.27,74.55,0,1,58,2.02339,291,0,2
68,166.78,-105.16,0,1,23,7.45574,263,0,1
69,-76.4,114.46,0,1,55,0.857962,225,0,2
70,-85.1,126.03,0,1,51,4.91684,239,0,2
71,131.02,-77.86,0,1,43,2.03532,235,0,1
72,-74.89,-41.02,0,1,44,3.57985,772,0,0
73,-72.81,116.09,0,1,46,3.94272,69,0,2
74,-1.31,17.28,0,1,21,2.91342,38,0,2
75,-108.14,40.38,0,1,41,5.13981,735,0,0
76,167.1,-125.66,0,1,46,6.64592,26,0,1
77,-139.62,40.72,0,1,24,1.95604,377,0,0
78,-87.89,103.52,0,1,56,3.07883,684,0,2
79,-93.73,125.53,0,1,52,4.81981,590,0,2
80,116.97,-82.76,0,1,55,3.52001,881,0,1
81,-103.69,36.7,0,1,35,1.83308,443,0,0
82,-34.76,51.54,0,1,48,1.53287,240,0,2
83,-157.48,102.05,0,1,13,6.54833,396,0,0
84,-76.09,130.53,0,1,30,5.66464,886,0,2
85,-124.54,47.15,0,1,35,1.98495,95,0,0
86,-122.47,148.29,0,1,21,3.29427,378,0,2
87,-16.91,25.95,0,1,35,11.8678,354,0,2
88,14.11,-3.9,0,1,9,12.7739,423,0,2
89,-77.91,132.6,0,1,28,2.75633,84,0,2
90,-104.54,26.51,0,1,46,1.62936,302,0,0
91,-128.34,51.19,0,1,33,5.03302,855,0,0
92,-87.81,-35.03,0,1,39,3.74258,709,0,0
93,-97.02,24.48,0,1,40,3.07539,428,0,0
94,-61.97,62.99,0,1,40,5.27197,696,0,2
95,-124.68,45.17,0,1,37,3.91542,241,0,0
96,-74.24,-36.15,0,1,46,2.17589,418,0,0
97,-46.19,-55.46,0,1,31,4.50371,463,0,0
98,-36.85,-79.69,0,1,18,2.94688,281,0,0
99,169.16,-143.03,0,1,55,2.2554,201,0,1
100,228.74,-219.73,0,1,6,10.8198,29,0,1
101,185.29,-149.62,0,1,34,3.80032,60,0,1
102,-68.05,122.34,0,1,30,5.39134,596,0,2
103,-59.42,71.08,0,1,54,4.45657,606,0,2
104,-98.72,16.77,0,1,47,0.995387,311,0,0
105,150.8,-101.8,0,1,51,1.03586,648,0,1
106,-47.72,14.19,0,1,4,7.56485,958,0,0
107,144.47,-145.54,0,1,19,2.13377,580,0,1
108,120.15,-73.05,0,1,48,4.00262,176,0,1
109,-49.2,-35.19,0,1,32,3.01629,659,0,0
110,150.67,-123.45,0,1,47,0.739999,679,0,1
111,-97.93,-13.04,0,1,45,1.414,808,0,0
112,-141.25,43.2,0,1,20,2.96771,77,0,0
113,183.99,-177.34,0,1,32,2.60376,119,0,1
114,-111.71,5.11,0,1,44,4.10572,558,0,0
115,179.22,-158.96,0,1,48,11.4142,444,0,1
116,-12.24,10.12,0,1,24,2.31041,49,0,2
117,-130.71,24.61,0,1,22,6.28208,818,0,0
118,-76.86,-7.56,0,1,39,4.86004,575,0,0
119,183.85,-174.74,0,1,34,7.63081,781,0,1
120,160.24,-155.4,0,1,40,1.59529,165,0,1
121,-58.71,-40.54,0,1,51,2.13063,729,0,0
122,-14.38,20.9,0,1,29,2.38103,870,0,2
123,-44.38,63.83,0,1,56,0.38833,665,0,2
124,-66.11,73.25,0,1,50,1.30384,550,0,2
125,150.05,-106.24,0,1,53,0.728974,374,0,1
126,-86.7,127.13,0,1,47,1.94165,70,0,2
127,105.5,-22.27,0,1,11,5.24744,445,0,1
128,-101.8,11.9,0,1,55,4.04649,801,0,0
129,-0.83,1.32,0,1,17,3.88561,440,0,2
130,-30.17,-79.35,0,1,22,12.1111,156,0,0
131,-29.77,-94.97,0,1,22,15.0666,156,0,0
132,-107.18,-15.56,0,1,30,3.62283,366,0,0
133,-85.73,-17.01,0,1,52,2.42406,163,0,0
134,-130.41,147.72,0,1,14,4.66499,868,0,2
135,-99.07,8.36,0,1,55,0.433822,801,0,0
136,86.95,-63.58,0,1,26,4.15249,146,0,1
137,-12.83,34.26,0,1,31,6.41215,755,0,2
138,-92.92,-21.73,0,1,41,4.5722,582,0,0
139,-119.21,186.61,0,1,8,3.64588,885,0,-1
140,-94.48,132.1,0,1,42,6.61268,79,0,2
141,-36.14,47.11,0,1,51,18.6402,123,0,2
142,182.35,-177.36,0,1,31,1.64012,113,0,1
143,-109.71,139.46,0,1,33,8.21518,697,0,2
144,-107.6,133.15,0,1,32,1.71126,697,0,2
145,158.45,-110.85,0,1,43,4.33038,456,0,1
146,90.99,-62.62,0,1,30,0.671866,589,0,1
147,-105.49,158.09,0,1,19,2.94681,382,0,2
148,-155.52,61,0,1,12,4.71739,203,0,0
149,-77.93,1.49,0,1,28,2.11691,833,0,0
150,-99.93,6.74,0,1,58,1.07448,257,0,0
151,169.57,-139.32,0,1,50,1.03325,788,0,1
152,-106.76,21.35,0,1,54,8.92323,780,0,0
153,-55.62,-71.69,0,1,28,8.41492,297,0,0
154,82.45,-27.43,0,1,25,1.85744,960,0,1
155,-42.53,82.43,0,1,35,0.518556,865,0,2
156,-40.95,-84.87,0,1,23,11.556,508,0,0
157,-34.29,76.04,0,1,33,4.20364,358,0,2
158,-43.75,53.26,0,1,45,4.71038,535,0,2
159,150.87,-113.22,0,1,54,7.04287,743,0,1
160,-72.53,103.68,0,1,57,3.17158,757,0,2
161,23.73,-35.67,0,1,4,12.1876,857,0,-1
162,-52.43,-32.81,0,1,36,1.82014,659,0,0
163,-87.68,-15.57,0,1,54,6.73286,329,0,0
164,103.52,-61.73,0,1,45,2.96083,340,0,1
165,161.09,-154.05,0,1,44,0.661215,591,0,1
166,-7.48,-2.54,0,1,14,5.23539,211,0,2
167,-2.31,-137.18,0,1,7,2.41821,967,0,-1
168,-70.73,115.21,0,1,42,2.25849,73,0,2
169,191.45,-166.44,0,1,32,2.44377,719,0,1
170,200.98,-155.11,0,1,16,7.59977,181,0,1
171,71.53,-5.94,0,1,11,5.78939,17,0,1
172,132.76,-104.13,0,1,61,2.82646,513,0,1
173,194.81,-189.4,0,1,18,2.85848,453,0,1
174,-101.16,137.53,0,1,33,1.63266,264,0,2
175,-35.85,-102.92,0,1,13,6.488,520,0,0
176,123.74,-74.82,0,1,50,4.92349,803,0,1
177,43.31,53.83,0,1,3,3.60588,486,0,-1
178,-104.28,115.56,0,1,42,2.43516,810,0,2
179,135.97,-88.58,0,1,62,1.67573,398,0,1
180,-78.34,-19.3,0,1,46,2.5212,748,0,0
181,196.29,-161.09,0,1,25,2.25622,249,0,1
182,165.15,-146.08,0,1,50,1.40057,856,0,1
183,153.43,-138.48,0,1,43,0.0447241,451,0,1
184,-61.84,-68.62,0,1,20,4.06389,419,0,0
185,-67.68,91.94,0,1,54,3.65309,352,0,2
186,-1.6,-129.2,0,1,7,3.75033,794,0,-1
187,105.53,-45.28,0,1,28,1.83142,395,0,1
188,-96.9,107.96,0,1,45,0.781087,524,0,2
189,87.98,-3.82,0,1,9,13.2348,516,0,1
190,123.17,-88.32,0,1,60,1.84784,827,0,1
191,116.59,-93.14,0,1,43,2.14218,482,0,1
192,-96.11,135.7,0,1,34,3.63446,28,0,2
193,-100.89,108.22,0,1,43,3.28977,524,0,2
194,-98.05,-3.29,0,1,61,9.10167,315,0,0
195,-68,-74.75,0,1,13,6.04273,16,0,0
196,-13.03,-77.27,0,1,9,5.73127,210,0,0
197,-98.14,-16.14,0,1,41,3.1071,111,0,0
198,-69.93,89.41,0,1,53,2.87848,352,0,2
199,111.24,-88.92,0,1,39,1.5508,258,0,1
200,-73.4,-31.43,0,1,52,2.94267,371,0,0
201,167.18,-144.11,0,1,55,9.20662,517,0,1
202,-112.84,147.99,0,1,26,7.76843,429,0,2
203,-156.69,65.57,0,1,13,2.77723,253,0,0
204,107.56,-90.69,0,1,27,4.08354,199,0,1
205,128.65,-87.66,0,1,55,2.47132,739,0,1
206,-11.53,-112.07,0,1,10,9.23741,602,0,0
207,-90.01,120.17,0,1,60,2.83426,590,0,2
208,99.22,-52.42,0,1,37,3.61942,730,0,1
209,-110.73,123.56,0,1,30,7.0982,731,0,2
210,-11.68,-82.84,0,1,9,5.57819,266,0,0
211,-9.5,2.29,0,1,19,7.20878,49,0,2
212,118.01,-59.34,0,1,39,1.58256,727,0,1
213,-97.36,99.07,0,1,37,6.25039,733,0,2
214,169.39,-136.18,0,1,50,2.18478,788,0,1
215,-131.64,169.64,0,1,8,2.05974,274,0,2
216,135.93,-113.76,0,1,51,1.16903,793,0,1
217,-22.6,-124.18,0,1,4,11.863,764,0,0
218,-55.54,-54.64,0,1,38,5.5723,357,0,0
219,-41.48,59.74,0,1,50,3.40077,809,0,2
220,-18.6,-90.09,0,1,17,8.78191,603,0,0
221,169.61,-159.94,0,1,37,5.54564,251,0,1
222,-143.55,51.67,0,1,24,7.28387,664,0,0
223,136.61,-57.86,0,1,8,6.79473,989,0,1
224,-53.18,66.79,0,1,61,9.81579,617,0,2
225,-76.96,113.81,0,1,58,1.88809,335,0,2
226,-41.43,78.1,0,1,40,4.48415,342,0,2
227,96.36,-44.58,0,1,35,5.92423,457,0,1
228,-172.04,96.52,0,1,12,12.2286,58,0,0
229,-93.9,31.42,0,1,26,4.86988,328,0,0
230,0.57,0.08,0,1,16,1.87019,129,0,2
231,122.89,-73.61,0,1,47,0.93,304,0,1
232,-116.6,150.56,0,1,24,4.55439,202,0,2
233,-43.94,51.92,0,1,43,0.700072,769,0,2
234,-69.34,-40.85,0,1,55,4.22995,610,0,0
235,130.7,-79.87,0,1,48,4.37411,43,0,1
236,-52.84,85.89,0,1,53,3.52325,698,0,2
237,-111.37,71.51,0,1,6,12.9447,832,0,0
238,-91,110.31,0,1,57,4.47045,417,0,2
239,-86.02,121.2,0,1,62,5.1386,372,0,2
240,-34.4,50.05,0,1,49,3.41631,141,0,2
241,-122.81,41.73,0,1,42,4.01278,494,0,0
242,-13.56,20.12,0,1,28,1.13172,122,0,2
243,-104.28,30.97,0,1,42,2.4683,874,0,0
244,-111.99,162.24,0,1,18,2.91255,22,0,2
245,-83,111.91,0,1,62,2.54031,644,0,2
246,-89.19,-17.59,0,1,48,2.522,163,0,0
247,-27.62,-102.04,0,1,16,2.51114,520,0,0
248,-44.24,-67.95,0,1,27,8.5419,0,0,0
249,196.56,-163.33,0,1,27,2.99188,389,0,1
250,-112.02,2.44,0,1,43,2.68794,114,0,0
251,174.82,-161.84,0,1,42,2.29225,9,0,1
252,-122.96,53.64,0,1,30,5.91159,91,0,0
253,-157.2,68.3,0,1,13,6.25212,314,0,0
254,-64.49,56.67,0,1,25,5.81557,514,0,2
255,-20.42,22.19,0,1,34,4.0707,720,0,2
256,107.1,-72.75,0,1,51,0.645603,819,0,1
257,-98.89,6.47,0,1,58,3.93731,64,0,0
258,111.29,-87.37,0,1,40,3.97283,860,0,1
259,-182.07,114.45,0,1,8,2.41207,497,0,0
260,-112.33,30.38,0,1,47,8.70791,754,0,0
261,-83.24,138.86,0,1,25,5.84829,667,0,2
262,-42.45,-72.04,0,1,24,4.46455,248,0,0
263,159.4,-104.1,0,1,35,6.81652,145,0,1
264,-100.32,136.13,0,1,35,4.86857,28,0,2
265,-13.28,-146.46,0,1,6,5.70671,301,0,-1
266,-16.17,-86.15,0,1,16,2.93518,654,0,0
267,121.72,-80.22,0,1,57,3.19312,348,0,1
268,-92.59,106.12,0,1,51,0.607453,24,0,2
269,-111.74,177.71,0,1,9,14.0173,885,0,-1
270,122.23,-63.03,0,1,36,3.17718,468,0,1
271,-82.71,89.98,0,1,38,3.68126,14,0,2
272,-66.16,-1.4,0,1,17,6.1314,336,0,0
273,-98.87,126.97,0,1,47,5.3379,79,0,2
274,-131.84,167.59,0,1,9,4.21431,393,0,2
275,-96.97,-10.62,0,1,52,2.36812,413,0,0
276,181.54,-144.65,0,1,40,3.45567,716,0,1
277,-61.03,94.44,0,1,50,2.06119,62,0,2
278,-29.17,55.73,0,1,41,6.0208,363,0,2
279,-53.71,-81.38,0,1,21,7.38935,508,0,0
280,115.47,-63.38,0,1,46,5.07055,404,0,1
281,-34.45,-81.4,0,1,21,4.74562,130,0,0
282,107.59,-58,0,1,45,2.92474,340,0,1
283,-28.16,-87.08,0,1,21,7.98706,130,0,0
284,128.65,-98.74,0,1,55,2.98964,430,0,1
285,-116.68,45.89,0,1,38,2.26241,714,0,0
286,-50.52,47.21,0,1,39,5.41244,474,0,2
287,-142.11,65.6,0,1,19,10.9219,779,0,0
288,-13.07,15.06,0,1,27,5.08367,242,0,2
289,134.53,-106.74,0,1,56,3.15357,172,0,1
290,169.58,-115.97,0,1,25,4.58314,5,0,1
291,-49.81,76.5,0,1,58,2.71661,746,0,2
292,-95.97,117.57,0,1,62,9.09723,887,0,2
293,-204.52,134.43,0,1,4,12.5913,930,0,0
294,-79.17,88.83,0,1,48,6.56558,454,0,2
295,152.2,-132.19,0,1,46,4.67287,476,0,1
296,10.34,-20.98,0,1,5,11.5392,915,0,2
297,-52.92,-63.72,0,1,31,6.13114,552,0,0
298,152.41,-123.18,0,1,48,1.70989,35,0,1
299,-4.21,-5.67,0,1,13,4.52657,166,0,2
300,-87.09,-1.37,0,1,53,4.08882,704,0,0
301,-7.64,-145.59,0,1,7,8.49284,967,0,-1
302,-105.76,27.59,0,1,46,3.98729,754,0,0
303,-64.98,-45.49,0,1,53,0.465192,626,0,0
304,123.82,-73.61,0,1,47,1.21264,176,0,1
305,-92.79,105.03,0,1,51,1.51093,24,0,2
306,138.23,-120.05,0,1,44,5.15486,863,0,1
307,-87.7,97.69,0,1,47,5.83309,78,0,2
308,-91.91,9.04,0,1,46,0.503285,816,0,0
309,-73.85,-33.94,0,1,51,2.55002,200,0,0
310,-121.18,34.39,0,1,43,3.24891,477,0,0
311,-97.8,17.15,0,1,47,1.56847,56,0,0
312,-66.12,-44.96,0,1,54,1.34451,626,0,0
313,-51.53,-41.86,0,1,46,7.30033,121,0,0
314,-161.71,72.63,0,1,13,7.03006,708,0,0
315,-102.79,4.48,0,1,63,999,-1,1,0
316,-73.21,-27.55,0,1,56,3.12866,875,0,0
317,-80.25,116.6,0,1,57,3.44006,372,0,2
318,-87.29,4.58,0,1,45,2.3362,556,0,0
319,48.37,-29.29,0,1,4,13.3239,850,0,1
320,-83.28,-18.25,0,1,50,1.25877,660,0,0
321,159.49,-142.83,0,1,48,0.999252,862,0,1
322,184.87,-141.48,0,1,29,3.55584,479,0,1
323,-103.99,-10.87,0,1,42,3.08263,506,0,0
324,-37.69,54.06,0,1,48,4.26339,759,0,2
325,141.77,-104.39,0,1,57,1.37321,668,0,1
326,-78.68,107.56,0,1,61,0.689417,888,0,2
327,133.27,-100.19,0,1,57,2.96445,513,0,1
328,-98.76,31.11,0,1,34,5.52177,243,0,0
329,-92.53,-10.9,0,1,56,3.59547,392,0,0
330,-39.23,72.61,0,1,42,5.52081,61,0,2
331,-109.2,151.92,0,1,24,5.35672,202,0,2
332,110.96,-59.64,0,1,45,5.85899,280,0,1
333,-70.16,-44.34,0,1,47,3.58504,234,0,0
334,-20.62,39.23,0,1,36,1.14691,675,0,2
335,-78.28,112.46,0,1,60,4.75194,245,0,2
336,-68.87,4.1,0,1,19,9.42845,149,0,0
337,-46.76,45.51,0,1,38,3.26535,474,0,2
338,-38.08,-45.51,0,1,20,9.33266,611,0,0
339,-90.23,135.38,0,1,34,3.29311,683,0,2
340,104.88,-59.1,0,1,45,8.37734,895,0,1
341,181.24,-166.28,0,1,33,3.50994,411,0,1
342,-45.69,79.5,0,1,47,2.26921,521,0,2
343,137.57,-104.61,0,1,59,2.82285,763,0,1
344,-84.51,105.99,0,1,58,1.64149,684,0,2
345,147.7,-95.77,0,1,52,2.82453,559,0,1
346,220.18,-191.47,0,1,9,9.74663,682,0,1
347,-120.49,138.75,0,1,22,10.8034,143,0,2
348,122.3,-83.36,0,1,58,4.16415,827,0,1
349,129.86,-102.86,0,1,52,3.16589,172,0,1
350,-127.89,30.7,0,1,29,0.54589,818,0,0
351,-71.55,71,0,1,39,3.55355,622,0,2
352,-67.27,88.31,0,1,55,4.94327,756,0,2
353,112.3,-75.99,0,1,54,2.3104,584,0,1
354,-26.05,33.52,0,1,35,0.564625,601,0,2
355,-16.38,-62.49,0,1,3,15.1549,196,0,0
356,138.05,-97.24,0,1,62,3.22606,961,0,1
