index,x,y,layer,weight,rho,delta,nh,isSeed,clusterId
0,-54,-100.52,0,1,18,1.89973,695,0,4
1,70.26,-84.94,0,1,23,10.8705,758,0,9
2,135.22,-157.14,0,1,12,17.3066,119,0,2
3,52.55,-198.6,0,1,13,7.41151,295,0,3
4,-75.21,-84.32,0,1,22,3.95841,897,0,4
5,205.08,25.73,0,1,9,3.82154,628,0,10
6,43.15,-195.58,0,1,12,3.80295,219,0,3
7,-206.11,-68.23,0,1,13,8.91388,326,0,1
8,-94.91,59.77,0,1,23,0.0921965,457,0,8
9,-117.28,-180.47,0,1,12,10.8151,456,0,7
10,-168.69,124.59,0,1,10,4.60288,593,0,6
11,-106.08,-20.65,0,1,25,9.37634,431,0,4
12,-102.66,-182.94,0,1,12,6.11864,29,0,7
13,-185.91,-156.45,0,1,1,24.4327,209,0,-1
14,159.65,-122.73,0,1,12,13.2989,989,0,2
15,11.7,-107.97,0,1,22,1.98041,133,0,4
16,80.39,61.95,0,1,20,2.45051,974,0,8
17,105.97,157.42,0,1,4,8.99005,340,0,0
18,102.61,15.53,0,1,21,1.74416,775,0,9
19,52.17,-80.68,0,1,22,5.19648,336,0,9
20,-125.65,-145.95,0,1,5,13.6101,918,0,7
21,116.48,178.13,0,1,12,3.2352,899,0,0
22,93.08,-28.97,0,1,27,4.27162,192,0,9
23,-195,-86.37,0,1,11,4.84928,71,0,1
24,22.5,-99.26,0,1,19,4.96146,615,0,4
25,209.39,-55.23,0,1,11,9.87688,309,0,2
26,61.08,61.86,0,1,17,7.68737,103,0,8
27,113.26,-181.8,0,1,12,3.57951,53,0,3
28,22.83,-207.88,0,1,13,3.42107,608,0,3
29,-98.22,-178.73,0,1,12,3.31059,698,0,7
30,-87.02,192.01,0,1,9,1.38322,672,0,6
31,-56.91,-74.86,0,1,14,2.90548,350,0,4
32,-204.91,-16.13,0,1,14,1.57137,314,0,1
33,-101.74,21.6,0,1,23,1.58114,334,0,4
34,55.35,101.46,0,1,14,9.82238,41,0,8
35,194.95,-23.84,0,1,9,8.97111,302,0,-1
36,-160.51,135.83,0,1,14,4.54222,521,0,6
