index,x,y,layer,weight,rho,delta,nh,isSeed,clusterId
0,-176.22,116.93,0,1,26,1.52454,83,0,0
1,218.17,52.38,0,1,15,4.51656,194,0,1
2,-89.5,177.68,0,1,19,4.07624,758,0,0
3,17.69,159.11,0,1,20,7.3433,785,0,0
4,32.57,126.57,0,1,22,5.06285,337,0,0
5,-134.56,171.5,0,1,25,5.29069,834,0,0
6,64.59,22.42,0,1,26,56.6816,24,0,0
7,203.91,-62.06,0,1,24,2.20002,655,0,1
8,215.74,16.84,0,1,21,1.12178,520,0,1
9,-30.16,-89.78,0,1,16,3.38362,20,0,1
10,38.38,-212.71,0,1,26,10.8315,821,0,1
11,-151.16,176.78,0,1,12,10.1297,543,0,0
12,-14.27,-136.73,0,1,21,0.0943415,513,0,1
13,-205.44,33.31,0,1,21,0.480416,802,0,0
14,64.77,-9.28,0,1,21,3.87073,479,0,0
15,-43.03,-99.43,0,1,28,62.3632,501,0,1
16,125.36,-195.01,0,1,28,4.79971,602,0,1
17,73.39,-207.4,0,1,36,2.38517,556,0,1
18,13.5,-179.57,0,1,29,1.32967,441,0,1
19,44.79,99.35,0,1,18,4.52881,566,0,0
20,-33.49,-90.38,0,1,19,6.33622,507,0,1
21,12.62,-180.7,0,1,28,1.43223,18,0,1
22,216.74,-76.29,0,1,12,4.60484,760,0,1
23,206.94,-49.17,0,1,26,0.460438,60,0,1
24,54.14,78.13,0,1,26,46.3212,64,0,0
25,-105.74,209.91,0,1,14,9.77382,784,0,0
26,-25.96,-108.45,0,1,21,3.03727,752,0,1
27,21.5,-182.47,0,1,23,6.41788,140,0,1
28,30.5,99.86,0,1,18,3.42537,37,0,0
29,-25.16,170.42,0,1,19,5.42826,431,0,0
30,-9.25,-134.59,0,1,21,5.38001,513,0,1
31,-198.58,38.93,0,1,19,8.86814,13,0,0
32,13.11,108.46,0,1,11,8.74287,558,0,0
33,42.71,-223.09,0,1,16,5.18645,115,0,1
34,28.28,108.22,0,1,22,8.63022,64,0,0
35,-73.75,57.1,0,1,11,2.24742,690,0,1
36,178.99,-132.23,0,1,26,13.5156,776,0,1
37,31.26,103.2,0,1,20,5.83788,34,0,0
38,-222.26,-41.87,0,1,13,5.8222,842,0,0
39,-199.13,-0.72,0,1,22,8.67873,782,0,0
40,25.91,-188.77,0,1,27,2.10447,140,0,1
41,176.88,-114.17,0,1,25,6.85291,531,0,1
42,-35.07,174.15,0,1,17,2.37742,330,0,0
43,167.95,-147.28,0,1,20,7.6257,633,0,1
44,37.22,-199.6,0,1,25,4.12603,821,0,1
45,170.44,-147.72,0,1,18,2.52858,43,0,1
46,87.05,-197.15,0,1,30,5.18257,826,0,1
47,212.87,-24.58,0,1,17,4.75926,165,0,1
48,193.73,-132.47,0,1,18,1.66388,408,0,1
49,-19.29,-144.43,0,1,23,3.75527,79,0,1
50,-67.26,68.37,0,1,9,6.5204,892,0,1
51,37.35,-203.51,0,1,24,3.46439,821,0,1
52,56.15,110.03,0,1,7,12.7253,323,0,0
53,-219.13,-49.93,0,1,14,4.6646,842,0,0
54,195.44,-107.29,0,1,22,5.34309,144,0,1
55,-81.46,213.23,0,1,20,9.2967,129,0,0
56,-167.99,151.89,0,1,12,4.47676,853,0,0
57,-14.35,148.48,0,1,12,12.53,669,0,0
58,-220.03,-63.37,0,1,13,1.59,502,0,0
59,195.42,-88.8,0,1,21,4.08074,375,0,1
60,206.68,-48.79,0,1,26,4.33817,405,0,1
61,76.3,-8.12,0,1,22,6.44175,635,0,0
62,-22.21,187.16,0,1,23,14.4753,474,0,0
63,-123.54,230,0,1,2,14.7991,533,0,0
64,28.7,116.84,0,1,26,3.77271,180,0,0
65,-169.69,120.9,0,1,25,2.28232,812,0,0
66,-99.54,192.2,0,1,31,7.99436,521,0,0
67,-210.38,31.95,0,1,23,10.3687,391,0,0
68,-198.3,105.99,0,1,12,5.26447,654,0,0
69,-104.01,161.21,0,1,9,4.92165,396,0,0
70,-54.77,-65.28,0,1,25,4.4396,270,0,1
71,201.04,-109.31,0,1,14,3.00641,483,0,1
72,56.43,-225.16,0,1,17,9.47006,716,0,1
73,-52.6,204.64,0,1,28,4.95552,209,0,0
74,-92.18,197.11,0,1,32,999,-1,1,0
75,191.32,-99.99,0,1,19,4.96037,158,0,1
76,-130.75,176.56,0,1,20,4.99925,756,0,0
77,-165.08,113.21,0,1,24,5.73064,497,0,0
78,-21.32,-149.51,0,1,22,5.47059,49,0,1
79,-16.68,-141.73,0,1,24,2.44699,631,0,1
80,-190.73,77.06,0,1,25,1.86682,823,0,0
81,-72.77,17.04,0,1,23,6.25544,268,0,1
82,36.78,70.89,0,1,16,6.94711,530,0,0
83,-176.01,118.44,0,1,28,10.1987,104,0,0
84,183.9,-81.23,0,1,15,2.46165,889,0,1
85,34.94,-230,0,1,7,9.38344,609,0,1
86,-201.27,53.32,0,1,17,2.25503,334,0,0
87,185.92,-129.06,0,1,25,7.62061,36,0,1
88,200.29,-89.03,0,1,22,13.0008,678,0,1
89,-27.3,-101.33,0,1,20,1.81994,293,0,1
90,20.17,-190.79,0,1,26,4.3441,140,0,1
