index,x,y,layer,weight,rho,delta,nh,isSeed,clusterId
0,208.43,119.58,0,1,7,0.751535,4,0,0
1,208.6,121.17,0,1,9,0.922275,4,0,0
2,212.07,123.66,0,1,6,1.58447,6,0,0
3,206.26,118.05,0,1,5,1.73081,8,0,0
4,208.75,120.26,0,1,9,3.34571,9,0,0
5,206.97,124.66,0,1,7,1.42021,9,0,0
6,210.56,123.18,0,1,8,2.80743,1,0,0
7,209.46,126.82,0,1,5,3.29632,5,0,0
8,206.75,119.71,0,1,7,2.07425,4,0,0
9,207.68,123.43,0,1,9,999,-1,1,0
10,-60.52,-87.47,0,1,9,9.12917,149,1,1
11,-59.93,-83.31,0,1,5,2.26013,16,0,1
12,-63.31,-84.93,0,1,8,3.77302,10,0,1
13,-60.9,-88.27,0,1,8,0.88566,10,0,1
14,-58.06,-87.58,0,1,7,2.40608,16,0,1
15,-65.84,-84.26,0,1,3,2.61721,12,0,1
16,-59.12,-85.42,0,1,8,2.48244,10,0,1
17,-57.43,-89.41,0,1,5,1.93541,14,0,1
18,-63.88,-86.59,0,1,7,1.75513,12,0,1
19,-62.5,-89.73,0,1,8,3.00466,10,0,1
20,-40.52,-237.27,0,1,9,0.49162,24,0,2
21,-37.63,-234.91,0,1,7,0.551453,29,0,2
22,-40.22,-238.06,0,1,9,0.39699,24,0,2
23,-36.73,-239.47,0,1,10,9.2302,331,1,2
24,-40.48,-237.76,0,1,9,0.772789,28,0,2
25,-38.06,-240.68,0,1,8,0.516626,27,0,2
26,-36.3,-241.76,0,1,4,2.06495,25,0,2
27,-38.44,-241.03,0,1,8,2.31467,23,0,2
28,-41.24,-237.9,0,1,9,4.77546,23,0,2
29,-38.18,-234.87,0,1,7,3.35196,20,0,2
30,-95.88,-93.61,0,1,10,1.56923,34,0,3
31,-93.56,-92.2,0,1,10,1.07466,36,0,3
32,-92.02,-91.6,0,1,9,1.65276,31,0,3
33,-92.78,-93.79,0,1,10,1.3923,35,0,3
34,-94.32,-93.44,0,1,10,1.1814,36,0,3
35,-93.55,-94.95,0,1,10,0.769997,37,0,3
36,-94.63,-92.3,0,1,10,2.66806,37,0,3
37,-94.32,-94.95,0,1,10,2.54,39,0,3
38,-92.68,-96.67,0,1,9,1.92751,35,0,3
39,-91.78,-94.95,0,1,10,999,-1,1,3
40,-235.05,173.82,0,1,9,1.91638,49,0,4
41,-233.02,175.58,0,1,10,0.845927,45,0,4
42,-235.44,176.73,0,1,8,1.27882,44,0,4
43,-234.1,177.83,0,1,9,1.45416,44,0,4
